train_loss,val_loss
3.04238,2.6837
2.21232,1.67916
1.52762,1.60523
1.45984,1.45895
1.31443,1.35092
1.38747,1.31654
1.26757,1.17709
1.2027,1.34884
1.20528,1.12657
1.1574,1.1913
1.13507,1.15056
1.10905,1.16067
1.0853,1.05423
1.12703,1.08253
1.04577,1.09835
1.07889,1.04523
1.0784,1.04624
1.00899,1.06465
0.947881,1.09915
1.00786,0.947331
0.920698,1.02877
0.975902,0.954026
0.972156,0.942958
0.955928,0.998118
0.908706,0.914156
0.881971,0.902382
0.904464,0.879094
0.89444,0.877758
0.891036,0.944446
0.876352,0.867002
0.871419,0.866621
0.83226,0.87164
0.857942,0.931429
0.817324,0.859625
0.842195,1.00395
0.829066,0.794534
0.819897,0.888502
0.833584,0.770754
0.82093,0.813341
0.796349,0.887452
0.810395,0.820934
0.807436,0.795029
0.798123,0.764787
0.793965,0.849088
0.842429,0.795877
0.784054,0.854755
0.767962,0.821762
0.767614,0.82458
0.755405,0.841566
0.825429,0.8251
0.78476,0.769162
0.743419,0.850132
0.781956,0.756937
0.72924,0.731578
0.743053,0.790238
0.710504,0.735567
0.746524,0.800447
0.749535,0.778324
0.712435,0.767933
0.732123,0.762137
0.739914,0.742026
0.749765,0.768631
0.699235,0.764697
0.724053,0.764361
0.702179,0.825152
0.7392,0.792827
0.728497,0.795953
0.708352,0.747489
0.723995,0.734549
